Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape.norovirus	kappa.norovirus	ucldMean.norovirus	ucldStdev.norovirus	rate.norovirus.mean	rate.norovirus.variance	rate.norovirus.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	indicators1	indicators2	indicators3	indicators4	indicators5	indicators6	indicators7	indicators8	indicators9	indicators10	indicators11	indicators12	indicators13	indicators14	indicators15	rates1	rates2	rates3	rates4	rates5	rates6	rates7	rates8	rates9	rates10	rates11	rates12	rates13	rates14	rates15	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_Africa_Asia	geoSubstModelLogger.location.relGeoRate_Africa_Europe	geoSubstModelLogger.location.relGeoRate_Africa_NorthAmerica	geoSubstModelLogger.location.relGeoRate_Africa_Oceania	geoSubstModelLogger.location.relGeoRate_Africa_SouthAmerica	geoSubstModelLogger.location.relGeoRate_Asia_Europe	geoSubstModelLogger.location.relGeoRate_Asia_NorthAmerica	geoSubstModelLogger.location.relGeoRate_Asia_Oceania	geoSubstModelLogger.location.relGeoRate_Asia_SouthAmerica	geoSubstModelLogger.location.relGeoRate_Europe_NorthAmerica	geoSubstModelLogger.location.relGeoRate_Europe_Oceania	geoSubstModelLogger.location.relGeoRate_Europe_SouthAmerica	geoSubstModelLogger.location.relGeoRate_NorthAmerica_Oceania	geoSubstModelLogger.location.relGeoRate_NorthAmerica_SouthAmerica	geoSubstModelLogger.location.relGeoRate_Oceania_SouthAmerica	freqParameter.norovirus1	freqParameter.norovirus2	freqParameter.norovirus3	freqParameter.norovirus4	
0	-2.078488973335E4	-1.885903248913E4	-1.925857244222E3	-1.85481406558E4	8.840729650885E0	2.759260970249E-1	1.786634876389E1	6.751475492178E-3	6.168228758828E-1	6.018526401439E-3	1.998231555022E-5	6.742792338089E-1	-1.880614295393E3	3.956824075996E0	1.172071566791E1	6.058937261371E1	1.43849520458E1	3.661324800039E0	17	68	221	122	13	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1	2.795068935109E0	1.993230800632E0	1.212982019651E-1	1.12805714838E0	7.411782075812E-2	4.009557479102E-1	1.778669468855E0	2.696670429735E0	1.139800946556E0	1.688462840353E0	1.315536431045E0	2.798349818252E0	1.251702278095E0	5.116258088576E-1	6.323385186588E-1	2.521555739779E-1	0E0	0E0	0E0	1.12805714838E0	0E0	0E0	1.778669468855E0	2.696670429735E0	0E0	1.688462840353E0	1.315536431045E0	0E0	1.251702278095E0	5.116258088576E-1	6.323385186588E-1	2.38467994375E-1	2.776608238519E-1	1.955285970114E-1	2.883425847617E-1	
1000000	-2.081098343516E4	-1.887173255762E4	-1.939250877541E3	-1.857156667053E4	9.334997206358E0	2.717066154401E-1	2.074858112669E1	6.23414029467E-3	5.82558142436E-1	6.00570658887E-3	1.243301114412E-5	5.734111086843E-1	-1.902285813948E3	6.373075636257E0	1.458781846305E1	5.799125894612E1	1.315403385765E1	3.294553634693E0	20	55	239	108	19	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	1.561017438119E-1	1.751312015782E-1	4.619790524983E-1	8.369304405111E-1	1.015909686863E-1	1.15425055294E0	1.607221636854E0	1.374749993561E0	4.422947677963E-1	1.275979510985E0	5.715379938736E-1	3.562725607884E-1	8.584390802074E-1	7.326713323787E-1	3.570380755713E0	2.300094960285E-1	0E0	0E0	0E0	8.369304405111E-1	0E0	0E0	1.607221636854E0	1.374749993561E0	0E0	1.275979510985E0	5.715379938736E-1	0E0	8.584390802074E-1	7.326713323787E-1	0E0	2.367943942866E-1	2.817144778522E-1	1.995493380467E-1	2.819417898145E-1	
2000000	-2.081817668714E4	-1.887217078384E4	-1.946005903303E3	-1.856796113648E4	8.319450639091E0	2.666817691201E-1	2.041190997709E1	6.227014778988E-3	6.088456697272E-1	6.037579374845E-3	1.492432262555E-5	6.424928304979E-1	-1.906801390319E3	3.123380736706E0	1.893584778444E1	5.137135993456E1	1.650372120227E1	2.365086158151E0	16	65	221	123	16	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	8.271762561895E-2	2.525112357025E-1	7.950067946969E-1	1.119808937896E0	9.435641061626E-1	6.734458629676E-1	1.277331577585E0	1.536517285039E0	1.304290340707E-1	1.272414361693E0	8.683696889961E-1	1.592739256472E-1	1.371028126583E0	6.435016367899E-1	2.463910579124E-2	2.792007313492E-1	0E0	0E0	0E0	1.119808937896E0	0E0	0E0	1.277331577585E0	1.536517285039E0	1.304290340707E-1	1.272414361693E0	8.683696889961E-1	1.592739256472E-1	1.371028126583E0	6.435016367899E-1	0E0	2.372597370682E-1	2.792215264688E-1	1.910097273702E-1	2.925090090928E-1	
3000000	-2.079085258621E4	-1.888289356324E4	-1.907959022977E3	-1.85781504508E4	8.117135121322E0	2.855704354565E-1	2.190508836404E1	6.630898204982E-3	5.283593430727E-1	6.201262890408E-3	1.41140240509E-5	5.813984181764E-1	-1.87351075791E3	3.791530526826E0	1.608685383612E1	6.685880324885E1	9.703406536448E0	1.103984271174E0	15	57	246	115	8	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	2.776673766462E-1	1.726434136366E-1	8.684704189437E-1	2.040078489401E-1	1.712873346869E0	1.156697534652E0	3.38988701288E-1	3.735472203902E-1	1.548568955814E0	4.382205417788E-1	9.732890736374E-2	2.669946523337E-1	5.241784776774E-1	1.880735839089E-1	2.60989106653E0	2.763800038536E-1	0E0	0E0	0E0	2.040078489401E-1	0E0	0E0	3.38988701288E-1	3.735472203902E-1	0E0	4.382205417788E-1	9.732890736374E-2	0E0	5.241784776774E-1	1.880735839089E-1	0E0	2.468800354829E-1	2.864721030485E-1	1.990235897537E-1	2.67624271715E-1	
4000000	-2.080666338645E4	-1.888297083829E4	-1.923692548161E3	-1.856736905947E4	8.257422660788E0	2.953141986651E-1	1.986608414049E1	6.419181935434E-3	6.193026125743E-1	6.113836367009E-3	1.704915297558E-5	6.51134714793E-1	-1.889997994899E3	3.43723839085E0	1.704906955673E1	5.396311873905E1	1.094011297368E1	1.362398198284E0	20	54	249	108	10	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1.905140659513E0	9.321781748529E-1	1.744915085815E-1	4.918637291478E-1	1.033889967363E0	4.402740674606E-1	1.765829114026E0	9.315693457069E-2	5.118206183916E-1	6.711666902563E-1	6.297122706777E-2	8.659638287827E-2	6.972205263421E-1	2.120779780131E-1	1.045766233956E0	3.385155468394E-1	0E0	0E0	1.744915085815E-1	0E0	0E0	0E0	1.765829114026E0	9.315693457069E-2	0E0	6.711666902563E-1	6.297122706777E-2	0E0	6.972205263421E-1	2.120779780131E-1	0E0	2.465503465924E-1	2.794092997051E-1	2.05658289654E-1	2.683820640485E-1	
5000000	-2.08030725711E4	-1.887554837768E4	-1.927524193423E3	-1.85575383051E4	9.06841082728E0	2.689176717688E-1	1.871558959981E1	6.532646675144E-3	6.440504824214E-1	6.325607627027E-3	2.384882198462E-5	7.385914533381E-1	-1.88856833685E3	3.372696023313E0	1.250374996101E1	5.700582775437E1	1.337666628913E1	2.451266437481E0	21	59	224	119	18	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	5.865466825438E-1	1.515652339426E0	1.67875406992E0	3.982756139731E-1	1.010633396062E0	7.380296016912E-1	1.203728316114E0	1.707955745946E0	4.263588239859E-1	1.925787406084E0	2.34200358922E-1	2.805148321998E-1	1.643203832055E0	2.104785130145E-1	4.916530511489E-1	2.555447811222E-1	5.865466825438E-1	0E0	0E0	0E0	0E0	7.380296016912E-1	1.203728316114E0	1.707955745946E0	4.263588239859E-1	1.925787406084E0	0E0	0E0	1.643203832055E0	2.104785130145E-1	0E0	2.276754885242E-1	2.906066762406E-1	2.162551601539E-1	2.654626750813E-1	
6000000	-2.076513750963E4	-1.886685415128E4	-1.898283358355E3	-1.855114670641E4	9.889646798246E0	2.703089237731E-1	1.772769510956E1	7.00258460764E-3	6.037070321481E-1	6.453116877062E-3	2.356371950764E-5	6.902270661631E-1	-1.860080749594E3	4.414795845578E0	1.304443911563E1	5.426554471459E1	1.11659985038E1	2.231966207651E0	23	60	242	102	14	0	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1.078824341089E0	1.816001993477E-1	2.388726585882E-1	6.26501970927E-1	9.040997447259E-1	5.131186655249E-1	8.14260243973E-1	1.159785979865E0	2.161471337201E0	1.47387858187E0	2.74837883516E-1	4.200193230986E-2	1.466249650158E0	3.964385274121E-1	1.37834494233E0	2.925628746253E-1	0E0	1.816001993477E-1	0E0	6.26501970927E-1	0E0	0E0	8.14260243973E-1	1.159785979865E0	0E0	1.47387858187E0	2.74837883516E-1	4.200193230986E-2	1.466249650158E0	3.964385274121E-1	0E0	2.419287991892E-1	2.889728610334E-1	1.99246169923E-1	2.698521698544E-1	
7000000	-2.077526798169E4	-1.883956344982E4	-1.935704531863E3	-1.853773955399E4	9.237745431218E0	2.831981092269E-1	1.841093928227E1	6.315581180178E-3	6.492300094872E-1	5.675346273596E-3	1.361184262434E-5	6.337126550376E-1	-1.894437024089E3	4.548981593589E0	1.682050743511E1	5.921053618835E1	1.003745469277E1	1.830422591935E0	23	54	237	120	7	0	0	0	1	0	0	1	1	0	1	1	1	1	1	0	3.38005786114E-1	1.322028232442E-1	1.231451653363E0	1.146851208421E0	7.332027391391E-1	1.52949920597E0	1.778265844442E0	1.651559028342E0	2.032475325132E0	1.281602353071E0	1.180535869219E0	3.565502299291E-1	2.129305227284E0	4.807644979541E-1	5.519997760486E-1	2.988260801085E-1	0E0	0E0	0E0	1.146851208421E0	0E0	0E0	1.778265844442E0	1.651559028342E0	0E0	1.281602353071E0	1.180535869219E0	3.565502299291E-1	2.129305227284E0	4.807644979541E-1	0E0	2.402746616172E-1	2.827464317783E-1	1.997714632466E-1	2.772074433579E-1	
8000000	-2.080768924908E4	-1.885912559785E4	-1.948563651224E3	-1.854529223276E4	8.84347046012E0	2.677095468781E-1	1.863940864549E1	6.071727388595E-3	6.335663079859E-1	5.868701280703E-3	1.972917549792E-5	7.127118314411E-1	-1.903702848103E3	3.645457650254E0	1.834596674082E1	6.091659801136E1	1.653409152043E1	1.9605150075E0	21	63	223	117	17	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	3.216872331415E0	3.247943525658E-1	2.332331838841E-1	1.7780516209E0	1.555944811392E0	1.544650736286E0	1.662714513872E0	1.809743322699E0	9.52927283055E-1	1.479423741302E0	1.039184674825E0	6.745243128973E-1	5.912164887983E-1	8.084760514552E-1	6.886079533649E-1	3.578871153877E-1	0E0	0E0	2.332331838841E-1	1.7780516209E0	0E0	0E0	1.662714513872E0	1.809743322699E0	0E0	1.479423741302E0	1.039184674825E0	0E0	5.912164887983E-1	8.084760514552E-1	0E0	2.334797175608E-1	2.862020792681E-1	1.928878637044E-1	2.874303394666E-1	
9000000	-2.080589688725E4	-1.885093510095E4	-1.954961786294E3	-1.854569470586E4	9.706513133895E0	2.613271248601E-1	1.834042025925E1	5.738576986585E-3	7.049361748877E-1	5.461957746127E-3	2.101679050121E-5	7.842420289258E-1	-1.911007225664E3	8.635063676775E0	1.621275188006E1	6.809419245096E1	1.767307491589E1	2.448714692727E0	22	66	195	137	21	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1	3.916160071958E-1	7.327070284034E-1	2.464365174819E0	1.53385993937E0	6.098904733014E-1	2.554456489745E-1	1.841390920916E0	1.335210292179E0	1.552880019514E0	2.105697255974E0	1.676531697855E0	1.384630224273E-1	1.832165827946E0	4.025181418309E-1	9.5769307915E-2	2.606621718909E-1	0E0	0E0	0E0	1.53385993937E0	0E0	0E0	1.841390920916E0	1.335210292179E0	0E0	2.105697255974E0	1.676531697855E0	0E0	1.832165827946E0	4.025181418309E-1	9.5769307915E-2	2.451463116795E-1	2.783810705923E-1	1.881589567222E-1	2.88313661006E-1	
