Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape.norovirus	kappa.norovirus	ucldMean.norovirus	ucldStdev.norovirus	rate.norovirus.mean	rate.norovirus.variance	rate.norovirus.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-1.967220835076E4	-1.785585555631E4	-1.816352794448E3	-1.759157925995E4	1.226402002977E1	2.654447800086E-1	2.192467084362E1	6.699479829521E-3	6.250930275398E-1	6.294753095218E-3	2.228059090032E-5	6.977684624672E-1	-1.770199681407E3	1.198966013118E1	3.533117363949E1	1.467394283348E1	1.884795376583E1	3.784096771084E0	39	206	77	98	22
500000	-1.969697774733E4	-1.787950699056E4	-1.817470756771E3	-1.76095930385E4	1.096685435111E1	2.540266437055E-1	2.063719976338E1	6.83896841988E-3	6.484016704589E-1	6.757626378206E-3	1.981838270794E-5	6.567551713885E-1	-1.778378136693E3	2.100427635914E1	4.424066934508E1	2.706010548601E1	1.129318992156E1	3.019555067877E0	72	41	201	106	22
1000000	-1.969912643463E4	-1.78953775793E4	-1.803748855329E3	-1.761289080165E4	1.046961116324E1	2.37597471841E-1	2.353109589583E1	6.435920471811E-3	5.641166810991E-1	6.344274874874E-3	1.631925313898E-5	6.230774788687E-1	-1.76847902585E3	1.157007791568E1	3.347975160839E1	2.955188981771E1	1.413528673845E1	3.871553379035E0	38	21	200	157	26
1500000	-1.962149461178E4	-1.781272871208E4	-1.808765899698E3	-1.754503917816E4	1.147952542261E1	2.56098823345E-1	2.085049293856E1	7.513348635545E-3	7.230607954138E-1	6.653544516483E-3	2.669323152193E-5	7.442236749124E-1	-1.763970127681E3	1.247035131796E1	2.585811466669E1	5.099878731733E1	1.696587745976E1	7.661276389653E0	50	161	29	171	31
2000000	-1.966725753124E4	-1.785614640481E4	-1.811111126435E3	-1.756940669579E4	1.221363120511E1	2.493916254406E-1	2.279842116481E1	6.458989794283E-3	6.370811092439E-1	6.558299590896E-3	2.015819608766E-5	6.801896166685E-1	-1.773623710645E3	1.473255247977E1	3.41778747683E1	1.409431416182E1	1.532294014034E1	4.889358338397E0	39	229	54	87	33
2500000	-1.968779897869E4	-1.785621288924E4	-1.83158608945E3	-1.757887047992E4	1.449223861247E1	2.473424164352E-1	2.216240728464E1	6.086013015462E-3	5.769398834451E-1	5.979773081978E-3	1.575059344937E-5	6.350737881025E-1	-1.787375935101E3	1.537069866244E1	3.120102308825E1	3.321318023434E1	1.243091098384E1	8.052438516625E0	40	186	82	89	45
3000000	-1.962405221858E4	-1.78257099557E4	-1.798342262883E3	-1.755606196317E4	1.162677033065E1	2.504847349827E-1	2.111949886219E1	6.53050740544E-3	6.857146843971E-1	6.251543497231E-3	2.262329887859E-5	7.412229216962E-1	-1.761106104684E3	1.016426022405E1	3.206076788112E1	7.502895193596E0	1.632883187982E1	8.000278435862E0	25	293	60	18	46
3500000	-1.964983292958E4	-1.788904175608E4	-1.760791173499E3	-1.761572991309E4	9.788103036508E0	2.440057497784E-1	2.2969921393E1	6.796405949556E-3	7.240282089244E-1	6.683843808865E-3	2.742223259136E-5	7.820401983151E-1	-1.721621949736E3	7.865127997874E0	2.542332782551E1	2.570003082094E1	8.422495676836E0	3.543109540936E0	2	167	146	113	14
4000000	-1.965827707109E4	-1.785382553149E4	-1.804451539595E3	-1.75776635412E4	1.504450222223E1	2.812317680507E-1	2.142673711727E1	7.026964302104E-3	7.487188271596E-1	6.472688742245E-3	4.031858351543E-5	8.933570971615E-1	-1.763219925513E3	7.431942636186E0	2.721641194952E1	3.246174206975E1	1.08324302987E1	3.283614490735E0	25	46	250	98	23
4500000	-1.966326356658E4	-1.785897031985E4	-1.804293246736E3	-1.758337553731E4	1.010186441163E1	2.87573084266E-1	2.338470783947E1	6.480244363567E-3	6.488573610588E-1	6.40481431559E-3	2.005001261914E-5	7.081339650395E-1	-1.767441796915E3	1.457623006931E1	8.145301418828E0	2.895770539698E1	1.198630994243E1	5.228323753443E0	37	10	264	103	28
